playerID,birthYear,nameFirst,nameLast,weight,height,bats,throws,debut
aardsda01,1981.0,David,Aardsma,220.0,75.0,R,R,2004-04-06
aasedo01,1954.0,Don,Aase,190.0,75.0,R,R,1977-07-26
abadan01,1972.0,Andy,Abad,184.0,73.0,L,L,2001-09-10
abadfe01,1985.0,Fernando,Abad,220.0,73.0,L,L,2010-07-28
abbotje01,1972.0,Jeff,Abbott,190.0,74.0,R,L,1997-06-10
abbotji01,1967.0,Jim,Abbott,200.0,75.0,L,L,1989-04-08
abbotku01,1969.0,Kurt,Abbott,180.0,71.0,R,R,1993-09-07
abbotky01,1968.0,Kyle,Abbott,200.0,76.0,L,L,1991-09-10
abbotpa01,1967.0,Paul,Abbott,185.0,75.0,R,R,1990-08-21
abercre01,1980.0,Reggie,Abercrombie,215.0,75.0,R,R,2006-04-04
abernbr01,1977.0,Brent,Abernathy,185.0,73.0,R,R,2001-06-25
abnersh01,1966.0,Shawn,Abner,190.0,73.0,R,R,1987-09-08
abregjo01,1962.0,Johnny,Abrego,185.0,72.0,R,R,1985-09-04
abreubo01,1974.0,Bobby,Abreu,220.0,72.0,L,R,1996-09-01
abreujo02,1987.0,Jose,Abreu,255.0,75.0,R,R,2014-03-31
abreuju01,1985.0,Juan,Abreu,185.0,72.0,R,R,2011-08-29
abreuto01,1984.0,Tony,Abreu,200.0,70.0,B,R,2007-05-22
abreuwi01,1977.0,Winston,Abreu,170.0,74.0,R,R,2006-08-06
accarje01,1981.0,Jeremy,Accardo,195.0,72.0,R,R,2005-05-04
aceveal01,1982.0,Alfredo,Aceves,205.0,74.0,R,R,2008-08-31
acevejo01,1977.0,Jose,Acevedo,185.0,72.0,R,R,2001-06-19
aceveju01,1970.0,Juan,Acevedo,245.0,74.0,R,R,1995-04-30
achteaj01,1988.0,A. J.,Achter,205.0,77.0,R,R,2014-09-03
ackerji01,1958.0,Jim,Acker,210.0,74.0,R,R,1983-04-07
ackledu01,1988.0,Dustin,Ackley,205.0,73.0,L,R,2011-06-17
acostma01,1981.0,Manny,Acosta,215.0,76.0,R,R,2007-08-12
acrema01,1968.0,Mark,Acre,235.0,80.0,R,R,1994-05-13
actama99,1969.0,Manny,Acta,172.0,74.0,R,R,
adairbi99,1913.0,Bill,Adair,168.0,72.0,R,R,
adamecr01,1991.0,Cristhian,Adames,185.0,72.0,B,R,2014-07-29
adamsau01,1986.0,Austin,Adams,200.0,71.0,R,R,2014-07-12
adamsda02,1987.0,David,Adams,205.0,73.0,R,R,2013-05-15
adamsjo02,1971.0,Joel,Adamson,185.0,76.0,L,L,1996-04-10
adamsla01,1989.0,Lane,Adams,190.0,76.0,R,R,2014-09-01
