,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,weight,height,debut,current_age,years_of_experience
0,abbotku01,1993,1,OAK,AL,20,61.0,11.0,15.0,1.0,0.0,3.0,9.0,2.0,0.0,3.0,20.0,0.0,0.0,3.0,0.0,3.0,1969.0,180.0,71.0,1993-09-07,24.0,0
1,abbotku01,1994,1,FLO,NL,101,345.0,41.0,86.0,17.0,3.0,9.0,33.0,3.0,0.0,16.0,98.0,1.0,5.0,3.0,2.0,5.0,1969.0,180.0,71.0,1993-09-07,25.0,1
2,abbotku01,1995,1,FLO,NL,120,420.0,60.0,107.0,18.0,7.0,17.0,60.0,4.0,3.0,36.0,110.0,4.0,5.0,2.0,5.0,6.0,1969.0,180.0,71.0,1993-09-07,26.0,2
3,abbotku01,1996,1,FLO,NL,109,320.0,37.0,81.0,18.0,7.0,8.0,33.0,3.0,3.0,22.0,99.0,1.0,3.0,4.0,0.0,7.0,1969.0,180.0,71.0,1993-09-07,27.0,3
4,abbotku01,1997,1,FLO,NL,94,252.0,35.0,69.0,18.0,2.0,6.0,30.0,3.0,1.0,14.0,68.0,3.0,1.0,6.0,0.0,5.0,1969.0,180.0,71.0,1993-09-07,28.0,4
5,abbotku01,1998,1,OAK,AL,35,123.0,17.0,33.0,7.0,1.0,2.0,9.0,2.0,1.0,10.0,34.0,0.0,1.0,1.0,1.0,3.0,1969.0,180.0,71.0,1993-09-07,29.0,5
6,abbotku01,1998,2,COL,NL,42,71.0,9.0,18.0,6.0,0.0,3.0,15.0,0.0,0.0,2.0,19.0,0.0,1.0,0.0,2.0,2.0,1969.0,180.0,71.0,1993-09-07,29.0,5
7,abbotku01,1999,1,COL,NL,96,286.0,41.0,78.0,17.0,2.0,8.0,41.0,3.0,2.0,16.0,69.0,0.0,0.0,2.0,1.0,4.0,1969.0,180.0,71.0,1993-09-07,30.0,6
8,abbotku01,2000,1,NYN,NL,79,157.0,22.0,34.0,7.0,1.0,6.0,12.0,1.0,1.0,14.0,51.0,2.0,1.0,0.0,1.0,2.0,1969.0,180.0,71.0,1993-09-07,31.0,7
9,abbotku01,2001,1,ATL,NL,6,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1969.0,180.0,71.0,1993-09-07,32.0,8
10,abreubo01,1996,1,HOU,NL,15,22.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1974.0,220.0,72.0,1996-09-01,22.0,0
11,abreubo01,1997,1,HOU,NL,59,188.0,22.0,47.0,10.0,2.0,3.0,26.0,7.0,2.0,21.0,48.0,0.0,1.0,0.0,0.0,0.0,1974.0,220.0,72.0,1996-09-01,23.0,1
12,abreubo01,1998,1,PHI,NL,151,497.0,68.0,155.0,29.0,6.0,17.0,74.0,19.0,10.0,84.0,133.0,14.0,0.0,4.0,4.0,6.0,1974.0,220.0,72.0,1996-09-01,24.0,2
13,abreubo01,1999,1,PHI,NL,152,546.0,118.0,183.0,35.0,11.0,20.0,93.0,27.0,9.0,109.0,113.0,8.0,3.0,0.0,4.0,13.0,1974.0,220.0,72.0,1996-09-01,25.0,3
14,abreubo01,2000,1,PHI,NL,154,576.0,103.0,182.0,42.0,10.0,25.0,79.0,28.0,8.0,100.0,116.0,9.0,1.0,0.0,3.0,12.0,1974.0,220.0,72.0,1996-09-01,26.0,4
15,abreubo01,2001,1,PHI,NL,162,588.0,118.0,170.0,48.0,4.0,31.0,110.0,36.0,14.0,106.0,137.0,11.0,1.0,0.0,9.0,13.0,1974.0,220.0,72.0,1996-09-01,27.0,5
16,abreubo01,2002,1,PHI,NL,157,572.0,102.0,176.0,50.0,6.0,20.0,85.0,31.0,12.0,104.0,117.0,9.0,3.0,0.0,6.0,11.0,1974.0,220.0,72.0,1996-09-01,28.0,6
17,abreubo01,2003,1,PHI,NL,158,577.0,99.0,173.0,35.0,1.0,20.0,101.0,22.0,9.0,109.0,126.0,13.0,2.0,0.0,7.0,13.0,1974.0,220.0,72.0,1996-09-01,29.0,7
18,abreubo01,2004,1,PHI,NL,159,574.0,118.0,173.0,47.0,1.0,30.0,105.0,40.0,5.0,127.0,116.0,10.0,5.0,0.0,7.0,5.0,1974.0,220.0,72.0,1996-09-01,30.0,8
19,abreubo01,2005,1,PHI,NL,162,588.0,104.0,168.0,37.0,1.0,24.0,102.0,31.0,9.0,117.0,134.0,15.0,6.0,0.0,8.0,7.0,1974.0,220.0,72.0,1996-09-01,31.0,9
20,abreubo01,2006,1,PHI,NL,98,339.0,61.0,94.0,25.0,2.0,8.0,65.0,20.0,4.0,91.0,86.0,5.0,2.0,0.0,6.0,8.0,1974.0,220.0,72.0,1996-09-01,32.0,10
21,abreubo01,2006,2,NYA,AL,58,209.0,37.0,69.0,16.0,0.0,7.0,42.0,10.0,2.0,33.0,52.0,1.0,1.0,2.0,3.0,5.0,1974.0,220.0,72.0,1996-09-01,32.0,10
22,abreubo01,2007,1,NYA,AL,158,605.0,123.0,171.0,40.0,5.0,16.0,101.0,25.0,8.0,84.0,115.0,0.0,3.0,0.0,7.0,11.0,1974.0,220.0,72.0,1996-09-01,33.0,11
23,abreubo01,2008,1,NYA,AL,156,609.0,100.0,180.0,39.0,4.0,20.0,100.0,22.0,11.0,73.0,109.0,2.0,1.0,0.0,1.0,14.0,1974.0,220.0,72.0,1996-09-01,34.0,12
24,abreubo01,2009,1,LAA,AL,152,563.0,96.0,165.0,29.0,3.0,15.0,103.0,30.0,8.0,94.0,113.0,7.0,1.0,0.0,9.0,15.0,1974.0,220.0,72.0,1996-09-01,35.0,13
25,abreubo01,2010,1,LAA,AL,154,573.0,88.0,146.0,41.0,1.0,20.0,78.0,24.0,10.0,87.0,132.0,3.0,2.0,0.0,5.0,13.0,1974.0,220.0,72.0,1996-09-01,36.0,14
26,abreubo01,2011,1,LAA,AL,142,502.0,54.0,127.0,30.0,1.0,8.0,60.0,21.0,5.0,78.0,113.0,5.0,1.0,1.0,3.0,8.0,1974.0,220.0,72.0,1996-09-01,37.0,15
27,abreubo01,2012,1,LAA,AL,8,24.0,1.0,5.0,3.0,0.0,0.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,1974.0,220.0,72.0,1996-09-01,38.0,16
28,abreubo01,2012,2,LAN,NL,92,195.0,28.0,48.0,8.0,1.0,3.0,19.0,6.0,2.0,35.0,51.0,3.0,0.0,0.0,0.0,6.0,1974.0,220.0,72.0,1996-09-01,38.0,16
29,abreubo01,2014,1,NYN,NL,78,133.0,12.0,33.0,9.0,0.0,1.0,14.0,1.0,0.0,20.0,21.0,0.0,0.0,0.0,2.0,3.0,1974.0,220.0,72.0,1996-09-01,40.0,18
30,abreujo02,2014,1,CHA,AL,145,556.0,80.0,176.0,35.0,2.0,36.0,107.0,3.0,1.0,51.0,131.0,15.0,11.0,0.0,4.0,14.0,1987.0,255.0,75.0,2014-03-31,27.0,0
31,abreujo02,2015,1,CHA,AL,154,613.0,88.0,178.0,34.0,3.0,30.0,101.0,0.0,0.0,39.0,140.0,11.0,15.0,0.0,1.0,16.0,1987.0,255.0,75.0,2014-03-31,28.0,1
32,ackledu01,2011,1,SEA,AL,90,333.0,39.0,91.0,16.0,7.0,6.0,36.0,6.0,0.0,40.0,79.0,1.0,0.0,0.0,3.0,3.0,1988.0,205.0,73.0,2011-06-17,23.0,0
33,ackledu01,2012,1,SEA,AL,153,607.0,84.0,137.0,22.0,2.0,12.0,50.0,13.0,3.0,59.0,124.0,7.0,0.0,1.0,1.0,3.0,1988.0,205.0,73.0,2011-06-17,24.0,1
34,ackledu01,2013,1,SEA,AL,113,384.0,40.0,97.0,18.0,2.0,4.0,31.0,2.0,3.0,37.0,72.0,1.0,1.0,4.0,1.0,6.0,1988.0,205.0,73.0,2011-06-17,25.0,2
35,ackledu01,2014,1,SEA,AL,143,502.0,64.0,123.0,27.0,4.0,14.0,65.0,8.0,4.0,32.0,90.0,1.0,3.0,3.0,2.0,10.0,1988.0,205.0,73.0,2011-06-17,26.0,3
36,ackledu01,2015,1,SEA,AL,85,186.0,22.0,40.0,8.0,1.0,6.0,19.0,2.0,2.0,14.0,38.0,0.0,1.0,3.0,3.0,3.0,1988.0,205.0,73.0,2011-06-17,27.0,4
37,ackledu01,2015,2,NYA,AL,23,52.0,6.0,15.0,3.0,2.0,4.0,11.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,1988.0,205.0,73.0,2011-06-17,27.0,4
38,adamsma01,2012,1,SLN,NL,27,86.0,8.0,21.0,6.0,0.0,2.0,13.0,0.0,0.0,5.0,24.0,0.0,0.0,0.0,0.0,3.0,1988.0,260.0,75.0,2012-05-20,24.0,0
39,adamsma01,2013,1,SLN,NL,108,296.0,46.0,84.0,14.0,0.0,17.0,51.0,0.0,1.0,23.0,80.0,0.0,0.0,0.0,0.0,9.0,1988.0,260.0,75.0,2012-05-20,25.0,1
